"module","condition","model","parameter","true_value","mean_est","median_est","sd_est","bias","rel_bias_pct","rmse","coverage_95","n_valid","n_runs","elapsed_min","groups","mechanism"
"M1","Balanced (33/33/33)","model_A","edu_diff",-1.5,-1.50460719309173,-1.50687599396751,0.0496425046642135,-0.00460719309172664,-0.307146206115109,0.0498558371459242,0.96,200,200,0.76,"33/33/33","oracle"
"M1","Balanced (33/33/33)","model_A","same_group",0.8,0.797960769598678,0.79204061101806,0.0708668718399867,-0.00203923040132226,-0.254903800165282,0.0708962057166304,0.935,200,200,0.76,"33/33/33","oracle"
"M1","Balanced (33/33/33) (interaction model)","model_B","edu_diff",-1.5,-1.50658212878157,-1.50407236183843,0.0666709369424682,-0.00658212878157194,-0.438808585438129,0.0669950614007016,0.945,200,200,0.77,"33/33/33","oracle"
"M1","Balanced (33/33/33) (interaction model)","model_B","same_group",0.8,0.797250306066792,0.79781363257908,0.0943709354219643,-0.00274969393320823,-0.343711741651029,0.0944109859557821,0.955,200,200,0.77,"33/33/33","oracle"
"M1","Balanced (33/33/33) (interaction model)","model_B","edu_diff_x_same",0,0.00072626551783243,0.00242286817383722,0.0971136731598636,0.00072626551783243,Inf,0.0971163888136456,0.935,200,200,0.77,"33/33/33","oracle"
"M1","Balanced (33/33/33) (bilateral 20%)","model_A","edu_diff",-1.5,-2.20706983147746,-2.20967227573431,0.0999033917432546,-0.707069831477464,-47.1379887651643,0.714092735061334,0,200,200,0.96,"33/33/33","bilateral_20pct",-0.020540548718533
"M1","Balanced (33/33/33) (bilateral 20%)","model_A","same_group",0.8,1.0038245803237,1.00771315472442,0.0916431015151373,0.2038245803237,25.4780725404624,0.223479121171187,0.225,200,200,0.96,"33/33/33","bilateral_20pct",-0.020540548718533
"M1","Moderate (50/30/20)","model_A","edu_diff",-1.5,-1.50897006383839,-1.50867364418063,0.0517322556037866,-0.0089700638383925,-0.598004255892833,0.0525041742637702,0.96,200,200,0.78,"50/30/20","oracle"
"M1","Moderate (50/30/20)","model_A","same_group",0.8,0.797576328155981,0.790801204887242,0.074342658858787,-0.00242367184401915,-0.302958980502394,0.0743821558668574,0.965,200,200,0.78,"50/30/20","oracle"
"M1","Moderate (50/30/20) (interaction model)","model_B","edu_diff",-1.5,-1.5082273507842,-1.50637906325713,0.0741485414951114,-0.00822735078419901,-0.548490052279934,0.0746035891011854,0.95,200,200,0.78,"50/30/20","oracle"
"M1","Moderate (50/30/20) (interaction model)","model_B","same_group",0.8,0.80100571154264,0.802145609551874,0.109888520474174,0.00100571154264029,0.125713942830036,0.109893122567839,0.92,200,200,0.78,"50/30/20","oracle"
"M1","Moderate (50/30/20) (interaction model)","model_B","edu_diff_x_same",0,-0.00346863720479202,-0.00987623769404061,0.0922155770314734,-0.00346863720479202,-Inf,0.0922807893946842,0.965,200,200,0.78,"50/30/20","oracle"
"M1","Moderate (50/30/20) (bilateral 20%)","model_A","edu_diff",-1.5,-1.98987564002379,-1.98698051295291,0.082826022626777,-0.489875640023788,-32.6583760015859,0.496828232604476,0,200,200,0.9,"50/30/20","bilateral_20pct",-0.319970238232673
"M1","Moderate (50/30/20) (bilateral 20%)","model_A","same_group",0.8,0.85020361448829,0.853327696876994,0.108880549375085,0.0502036144882905,6.27545181103631,0.119897360020599,0.825,200,200,0.9,"50/30/20","bilateral_20pct",-0.319970238232673
"M1","Unbalanced (70/20/10)","model_A","edu_diff",-1.5,-1.50536600737404,-1.50576270829637,0.053035466075834,-0.0053660073740438,-0.357733824936253,0.0533062350670091,0.94,200,200,0.76,"70/20/10","oracle"
"M1","Unbalanced (70/20/10)","model_A","same_group",0.8,0.803443670334756,0.80816963072402,0.0934536591226159,0.00344367033475557,0.430458791844446,0.0935170854377989,0.94,200,200,0.76,"70/20/10","oracle"
"M1","Unbalanced (70/20/10) (interaction model)","model_B","edu_diff",-1.5,-1.51363764516428,-1.51430129558703,0.0896486936648295,-0.0136376451642781,-0.909176344285208,0.0906800619840833,0.925,200,200,0.76,"70/20/10","oracle"
"M1","Unbalanced (70/20/10) (interaction model)","model_B","same_group",0.8,0.796304691577274,0.799282574167322,0.128640276967121,-0.00369530842272647,-0.461913552840809,0.128693341562478,0.915,200,200,0.76,"70/20/10","oracle"
"M1","Unbalanced (70/20/10) (interaction model)","model_B","edu_diff_x_same",0,0.0102616646311705,0.0102923958238793,0.0964588932036259,0.0102616646311705,Inf,0.0970031949941399,0.955,200,200,0.76,"70/20/10","oracle"
"M1","Unbalanced (70/20/10) (bilateral 20%)","model_A","edu_diff",-1.5,-2.08958892278617,-2.0845736016408,0.0817725523872225,-0.589588922786171,-39.3059281857448,0.595232600078389,0,200,200,0.92,"70/20/10","bilateral_20pct",-0.109208241842018
"M1","Unbalanced (70/20/10) (bilateral 20%)","model_A","same_group",0.8,0.889656846527317,0.886048414216821,0.119316642166402,0.0896568465273165,11.2071058159146,0.149247483151603,0.795,200,200,0.92,"70/20/10","bilateral_20pct",-0.109208241842018
"M1","Extreme (85/10/5)","model_A","edu_diff",-1.5,-1.50394263177816,-1.49874222211437,0.0514010482827538,-0.00394263177815635,-0.262842118543756,0.0515520330336653,0.945,200,200,0.76,"85/10/5","oracle"
