"assumption","matching_type","level","level_numeric","edu_diff_bias","edu_diff_rmse","edu_diff_coverage","same_wp_bias","same_wp_rmse","same_wp_coverage","mediation_pct","mediation_sd","part"
"A1: Mediation pathway strength","one_sided","0.5",0.5,0.0261362704303995,0.0522802973043917,0.89,0.206373511894492,0.22368088225182,0.245,10.0629675079673,1.33761335790406,"II"
"A1: Mediation pathway strength","one_sided","1",1,0.0314443999217597,0.0531150820789566,0.905,0.194019110575006,0.2150400706159,0.3,16.5213438403321,1.71364405742153,"II"
"A1: Mediation pathway strength","one_sided","2",2,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A1: Mediation pathway strength","one_sided","3",3,0.03950885393422,0.062172487656898,0.85,0.163027973704805,0.190212697761421,0.455,26.7074752884214,2.1735151821343,"II"
"A1: Mediation pathway strength","one_sided","5",5,0.0416218546221117,0.0647369803120761,0.87,0.131671047365543,0.163350304997689,0.625,30.3309672512125,2.2403539582989,"II"
"A2: Choice set size (J)","one_sided","10",10,0.0667252558101221,0.0832570548648854,0.67,0.147392753002535,0.188204568083838,0.665,18.0059475358248,2.06710234775017,"II"
"A2: Choice set size (J)","one_sided","20",20,0.047695265627129,0.0655452954702334,0.815,0.167849080866688,0.193281799738817,0.47,21.7354912116627,1.8752391807529,"II"
"A2: Choice set size (J)","one_sided","30",30,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A2: Choice set size (J)","one_sided","50",50,0.0371227490619428,0.0581876797559133,0.87,0.186322294819832,0.207272650843971,0.295,24.7874556846936,1.94738909124773,"II"
"A2: Choice set size (J)","one_sided","100",100,0.0261459000228157,0.0543768486669301,0.905,0.199556774006561,0.216233893255475,0.225,25.9862962836341,1.88380517159047,"II"
"A3: Confounder type","one_sided","homophily",1,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A3: Confounder type","one_sided","level",2,0.0258238633564855,0.0553220419004246,0.865,-0.160845534273943,0.184976978026915,0.48,18.6918123931452,1.77072972094589,"II"
"A3: Confounder type","one_sided","interaction",3,0.0759263112852299,0.0897129736030063,0.595,0.211092897961863,0.233032882940695,0.26,24.2008845188378,2.13079139456196,"II"
"A4: Group structure","one_sided","no_groups",0,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A4: Group structure","one_sided","groups_no_ctrl",1,0.0392643547266441,0.0605229339212816,0.85,0.157434693149665,0.185559299110516,0.49,25.062651013933,1.98618200139645,"II"
"A4: Group structure","one_sided","groups_with_ctrl",2,0.0386788229502725,0.0600217565887996,0.875,0.157809489878065,0.18586516425096,0.485,25.0614299394834,1.98279071083028,"II"
"A5: Multiple mediators","one_sided","single",1,0.0404185721687643,0.0599334952587274,0.845,0.187742054235618,0.209903357400674,0.33,23.3477226068526,1.95035070194542,"II"
"A5: Multiple mediators","one_sided","two_wp_conf",2,0.0398226568538003,0.068375742423167,0.87,0.173752750145039,0.1970053203112,0.41,36.2937418693577,2.46887160222469,"II"
